Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building, Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)",Constituency over 50% one race,Length of Lease (Date),Address,Location,Closed Date,Closed?
ShoWare Center,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,625 W James St Kent WA 98032,"(47.3876580, -122.2399930)",,0
Showbox at the Market,(206) 628-3151,www.showboxonline.com/market,10000,Downtown,N,Music,2007,R,1939,2007,0,1,1130,N,0,Partial,0,Y,N,Y,N,4,,2024,1426 1st Ave Seattle WA 98101,"(47.6084950, -122.3397430)",,0
Showbox SODO,(206) 628-3151,www.showboxpresents.com,22000,SODO,N,Performance,2007,R,,2007,0,1,1800,N,0,Partial,16,Y,N,Y,N,1,,2022,1700 1st Ave South Seattle WA 98134,"(47.5878916, -122.3339403)",,0
Shuga Jazz Bistro,(425) 274-3074,www.shugajazzbistro.com,1200,,N,Literary,2014,R,1960,2014,0,1,120,I don't know.,,Y,30,Y,Y,Y,,5,,2019,317 Main Ave S Renton WA 98057,"(47.4789790, -122.2045660)",,0
Shunpike,(206) 905-1026,www.shunpike.org,,International District,,Arts/Cultural Administration or Advocacy,2017,R,1932,2000,2,,,,,,,,,,Y,,,,"815 Seattle Blvd S, Seattle, WA  98134","(47.5950700, -122.3271790)",,0
Si View Metropolitan Park District with SI View Community Center,(425) 831-1900,www.siviewpark.org,14000,,Government,Multi-use,2003,O,1937,2003,0,1,,N,,Partial,75,Y,Y,N,,5,,,400 SE Orchard Drive North Bend WA 98045,"(47.4904000, -121.7846740)",,0
Sidereal Fine Art Press,,,,,,Visual,,,,,,,,,,,,,,,,,,,4261 South 144th Street Tukwila WA 98168,"(47.4736620, -122.2787600)",,0
SIFF Cinema Uptown (see SIFF for answers to survey),,,,,,Cinema,,,,,,,,,,,,,,,,,,,511 Queen Anne Ave N Seattle WA 98109,"(47.6236160, -122.3567250)",,0
Silver Platters Northgate,,,,,,Music,,,,,,,,,,,,,,,,,,,9560 1st Ave NE Seattle WA 98115,"(47.6982730, -122.3284560)",,0
Silver Platters SoDo,,,,,,Music,,,,,,,,,,,,,,,,,,,2930 1st Ave S Seattle WA 98121,"(47.5902900, -122.3341971)",,0
Singles Going Steady,,,,,,Music,,,,,,,,,,,,,,,,,,,2219 2nd Ave Seattle WA 98121,"(47.6134530, -122.3452680)",,0
Sisko Gallery,,,,,,Studios,,,,,,,,,,,,,,,,,,,3126 Elliot Ave Seattle WA 98121,"(47.6183638, -122.3572268)",,0
Skykomish Historical Society,(360) 596-9037,www.skykomishhistoricalsociety.org,2000,,Y,Preservation,2012,R,1915,1955,2,0,,N,,Y,20,Y,N,N,,4,,2022,110 W. Railroad Ave. Skykomish WA 98288,"(47.7092180, -121.3609320)",,0
Skylark Cafe & Club,(206) 935-2111,www.skylarkcafe.com,2200,West Seattle,N,Performance,2006,R,1903,2012,0,0,80,Y,400,Y,20,Y,N,Y,N,5,,2024,3803 Delridge Way SW Seattle WA 98106,"(47.5700038, -122.3625235)",,0
Small Faces/Crown Hill Center,(206) 782-2611,www.smallfaces.org,1000,Crown Hill,Y,Multi-use,1909,O,201,1989,0,0,,N,,Y,15,I don't know.,Y,N,N,5,,,9250 14th Ave NW Seattle WA 98117,"(47.6972534, -122.3736211)",,0
Smart With Art,(425) 420-2677,www.smartwithart.net,1000,,N,Arts/Cultural Training or Education,2014,R,2000,2009,1,0,,I don't know.,,I don't know.,20,N,N,N,,4,,,6402 Denny Peak Dr SE Snoqualmie WA 98065,"(47.5433800, -121.8606690)",,0
Snoqualmie Falls Brewing Company,(425) 831-2337,www.fallsbrew.com,7000,,N,Multi-use,2007,R,1975,1997,0,0,,N,,Y,10,Y,Y,Y,,4,,2019,8032 Falls Ave. S.E. Snoqualmie WA 98065,"(47.5288320, -121.8240170)",,0
Snoqualmie Valley Historical Society and Museum,(425) 888-3200,www.snoqualmievalleymuseum.org,4500,,Y,Heritage,1979,R,1949,1939,2,0,,N,,Partial,6,Y,N,N,,3,,,320 Bendingo Blvd S North Bend WA 98045,"(47.4940390, -121.7884120)",,0
"So, There",,,750,,N,Arts/Cultural Training or Education,2014,R,1973,2014,0,0,,Y,600,Y,5,Y,N,N,,4,,,195 Front Street North Issaquah WA 98027,"(47.5324100, -122.0367670)",,0
SoDo MakerSpace,,,,,,Studios,,,,,,,,,,,,,,,,,,,1914 Occidental Ave S Seattle WA 98134,"(47.5853330, -122.3332700)",,0
Somali Community Services Coalition,(206) 431-3536,www.somalicsc.org,,,,Heritage,,,,,,,,,,,,,,,,,,,"15027 Military Road S, Upper Terrace, Suite 3 SeaTac WA 98188","(47.4682400, -122.2890990)",,0
Somali Community Services of Seattle,(206) 422-7074,www.somcss.net,2287,Southside Seattle,Y,Community Center,2013,R,1980,1995,2,1,50,N,0,Y,28,I don't know.,Y,N,I don't know.,4,,2018,8810 Renton Ave South Seattle WA 98118,"(47.5239410, -122.2762979)",,0
Sonic Boom,(206) 297-2666,www.sonicboomrecords.com,2200,Ballard,N,Music,2001,R,1920,1997,4,0,0,N,0,Partial,0,Y,N,N,N,4,,2016,2209 NW Market St Seattle WA 98107,"(47.6685224, -122.3851065)",,0
Soos Creek Botanical Garden and Heritage Center,(253) 639-0949,www.sooscreekbotanicalgarden.org,1250,,Y,Heritage,2010,O,1980,2009,0,1,45,I don't know.,,Y,85,N,Y,N,,5,,,29308 132nd Ave. SE Auburn WA 98092,"(47.3392050, -122.1637100)",,0
Soul Cat Guitars,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,1998 Western Ave Seattle WA 98126,"(47.6103300, -122.3436850)",,0
Sound Guitar Repair,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,118 N. 35th St #105 Seattle WA 98103,"(47.6521840, -122.3567730)",,0
Soundfalls Institute of Live Performance,(425) 466-4594,www.soundfalls.org,800,,N,Multi-use,2000,O,1910,2006,3,1,100,I don't know.,,N,100,Y,N,N,,4,,,32124 E. Morrison Street Carnation WA 98014,"(47.6511990, -121.9104310)",,0
South Park Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,8319 8th Ave S Seattle WA 98108,"(47.5287600, -122.3228730)",,0
South Park Neighborhood and Senior Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,8201 10th Ave S Seattle WA 98108,"(47.5295790, -122.3205180)",,0
South Seattle Community College Chinese Gardens,(206) 934-5219,www.seattlechinesegarden.org,200376,West Seattle,Y,Heritage,2011,O,2010,1991,0,0,0,N,0,Partial,10,N,Y,,,2,,0,6000 16th Ave SW Seattle WA 98106,"(47.5510384, -122.3518643)",,0
South Seattle Community College Little Theatre,,,,,,Performance,,,,,,,,,,,,,,,,,,,6000 16th Ave SW Seattle WA 98106,"(47.5510384, -122.3518643)",,0
South Seattle Community College Olympic Hall,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,6000 16th Avenue SW Seattle WA 98106,"(47.5472340, -122.3519290)",,0
South Side Dance Force,(253) 639-5829,www.ssdanceforce.com,1200,,N,Performance,2010,R,1987,1999,2,0,,N,,I don't know.,20,Y,Y,N,,4,,2016,706 Central Avenue South Kent WA 98032,"(47.3750350, -122.2299400)",,0
Southeast Seattle Community Youth Orchestra,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,0
Southeast Seattle Senior Center,(206) 722-0317,,12840,Hillman City,Y,Community Center,1991,O,1960,1961,0,1,140,Y,35,Y,,N,Yes,N,N,4,,0,4655 S. Holly Street,"(47.5422630, -122.2730640)",,0
Southside Commons,206-568-5400,http://southsidecommons.org/,8060,Columbia City,Y,Multi-use,2009,O,1907,2009,0,0,0,N,,Y,9,Y,Y,N,N,5,,,3518 S Edmunds St Seattle WA 98118,"(47.5588680, -122.2879710)",,0
Southwest Seattle Historical Society,206-938-5293,http://www.loghousemuseum.info,1100,Alki,Y,Heritage,1997,O,1904,1984,0,1,20,Y,630,Y,23,Y,N,N,N,5,,,3003 61st Ave SW Seattle WA 98116-2810,"(47.5775530, -122.4109500)",,0
SPACE 101.1 FM,2062455457,www.space101fm.org,585,Magnuson Park,Non Profit,Music,2,Rent,1942,1994,3,,,No,,No,0,No,Yes,No,No,4,,2023,"7400 Sand Point Way, Building 138 N.",,,
SPCCCPPC,2063590359,SPCCCPPC@poetry.com,126,Rainier Valley,O,Literary,2010,Other,1927,2010,3,1,650,Y,400,Y,8,Y,Y,N,"We have been, but are not currently.",3,,2017,4223 S Kenyon St Seattle WA 98118,"(47.5311850, -122.2795640)",,0
Spectrum Creative Alliance,(360) 625-8631,www.spectrumcreativealliance.com,,,,,,,,,,,,,,,,,,,,,,,1408 Porter Street Enumclaw WA 98022,"(47.2032443, -121.9929192)",,0
Spectrum Dance Theater,(206) 325-4161,www.spectrumdance.org,4000,Madrona,Y,Performance,1980,R,1900,1980,0,1,85,,,N,0,Y,Y,N,Y,5,,0,800 Lake Washington Blvd Seattle WA 98122,"(47.5424610, -122.2604290)",,0
Spin Cycle,,,,,,Music,,,,,,,,,,,,,,,,,,,321 Broadway Ave East Seattle WA 98102,"(47.6216660, -122.3213040)",,0
Spinderella Studios,(425) 221-2052,www.spinderellastudios.com,1500,,N,Multi-use,2012,R,2000,2008,0,1,35,N,,I don't know.,25,I don't know.,I don't know.,N,,2,,2016,19151 144th Ave. NE Woodinville WA 98072,"(47.7660150, -122.1484200)",,0
SPLAB Seattle Poetics LAB,(206) 422-5002,http://www.splab.org,150,Columbia City,Y,Literary,2015,R,2015,1993,2,0,0,N,0,Y,0,N,No,N,P,3,,2017,4801 Rainier Ave S,"(47.5591430, -122.2867510)",,
Spotlight Dance and Performing Arts Center,(425) 241-3388,www.spotlightdance.net,2500,,N,Arts/Cultural Training or Education,2009,R,1986,2003,2,0,,N,,Partial,19,Y,Y,N,,5,,It's month to month.,150 S Tobin St Renton WA 98057,"(47.4840750, -122.2148410)",,0
Spring Street Center (Subud Pacific Northwest),(206) 422-5002,www.springstreetcenter.com,1700,First Hill,Y,Literary,1974,O,1905,1974,0,2,80,N,0,Partial,0,Y,Y,N,N,5,,0,1101 15th Ave Seattle WA 98122,"(47.6117204, -122.3130658)",,0
SRG Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,110 Union St Suite 300 Seattle WA 98101,"(47.6080964, -122.3388114)",,0
St Rigsby and His Amazing Silhouettes,,www.corykelleycreative.com/sgtrigsby,46,Central District,Y,Performance,2012,R,,1998,4,0,0,N,0,N,0,N,N,N,N,3,,It's month to month.,,,,0
St. Clouds,,,,,,Music,,,,,,,,,,,,,,,,,,,1131 34th Ave Seattle WA 98122,"(47.6126020, -122.2896420)",,0
St. James Cathedral,"804 9th Ave Seattle, WA 98104",,,,,Multi-use,,,,,,,,,,,,,,,,,,,,"(47.6075860, -122.3259350)",,0
St. Luke's Episcopal Church Seattle,206-784-3119,stlukesseattle.org,10000,Ballard,Y,Multi-use,1924,O,1975,1924,1,2,170,No,,Partial,25,Yes,Yes,No,No,5,,,5710 22nd Ave NW Seattle WA 98107,"(47.6704100, -122.3841020)",,0
St. Paul's Episcopal Church,(206) 282-0786,www.stpaulseattle.org,1100,Uptown,Y,Multi-use,1913,O,1962,,3,0,0,Y,400,N,10,Y,Y,N,N,5,,0,15 Roy St Seattle WA 98109,"(47.6252101, -122.3559613)",,0
St. Stephens Episcopal Church,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,4805 NE 45th St Seattle WA 98105,"(47.6610640, -122.2759320)",,0
Stage One Theatre- North Seattle Community College,(206) 934-3708,www.northseattle.edu,,Northgate,Y,Performance,1970,O,1970,1970,0,2,620,Y,,Y,1001,Y,Y,N,N,4,,,9600 College Way N Seattle WA,"(47.7030576, -122.3337619)",,0
Steinbrueck Native Gallery,(206) 441-3821,www.steinbruecknativegallery.com,1500,Belltown,N,Visual,2006,R,1992,2006,0,0,0,Y,,Y,0,Y,,N,N,4,,0,2030 Western Ave Seattle WA 98121,"(47.6112287, -122.3444605)",,0
STG Moore Theatre,(206) 467-5510,www.stgpresents.org/moore,30080,Belltown,Y,Performance,1992,R,1907,1991,1,1,1804,N,0,Y,0,Y,Y,Y,Y,5,,,1932 2nd Ave Seattle WA 98101,"(47.6113032, -122.3408460)",,0
STG Neptune Theatre,(206) 682-1414,www.stgpresents.org/neptuneâ€Ž,16854,University District,Y,Performance,2010,R,1921,1991,1,1,850,N,0,Y,0,Y,Y,Y,Y,5,,,1303 NE 45th St Seattle WA 98105,"(47.6609714, -122.3138972)",,0
STG Paramount Theatre,(206) 902-5500,www.stgpresents.org/paramount,112297,Downtown,Y,Performance,1991,O,1928,1991,0,1,2804,N,0,Y,0,Y,Y,Y,Y,5,,0,911 Pine St Seattle WA 98101,"(47.6132437, -122.3313560)",,0
Stitches,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,711 East Pike St Seattle WA 98122,"(47.6140700, -122.3230970)",,0
Stone Soup Theatre/DownStage Theatre,(206) 388-9212,www.stonesouptheatre.org,980,Fremont,Y,Performance,2008,R,,1996,1,1,50,N,0,Partial,0,Y,Y,N,N,3,,It's month to month.,4029 Stone Way N Seattle WA 98103,"(47.6561433, -122.3426065)",,0
Stone Way Cafe,,,,,,Music,,,,,,,,,,,,,,,,,,,3510 Stone Way N Seattle WA 98103,"(47.6498780, -122.3427110)",,0
Stonington Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,125 S Jackson St Seattle WA 98104,"(47.5989184, -122.3331591)",,0
Storefronts Seattle/Shunpike,(206) 905-1026,www.shunpike.org,26600,Belltown,Y,Multi-use,2007,R,1889,2000,0,0,0,N,0,N,1,N,N,N,Y,2,,2013,2324 1st Ave # 112 Seattle WA 98121,"(47.6139909, -122.3472372)",,1
Stormy Muffin Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,219 1st Avenue S #B1 Seattle WA 98104,"(47.6002160, -122.3345790)",,0
Storum Jewish Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,2618 NE 80th St Seattle WA 98115,"(47.6866700, -122.2992410)",,0
Stretch and Staple Canvas Printing Company,(206) 607-9277,www.stretchandstaple.com,1150,Greenwood,N,Service/Supply,2013,R,1930,2008,2,0,,Y,600,Y,5,Y,N,Y,N,4,,2019,8005 Greenwood Ave N. Seattle WA 98103,"(47.6871360, -122.3553060)",,0
Stroum Jewish Community Center,(206) 232-7116,www.sjcc.org,90000,,Y,Preservation,1981,O,1968,1948,1,1,358,N,,Y,244,Y,Y,Y,,5,,,3801 E Mercer Way Mercer Island WA 98040,"(47.5761024, -122.2059486)",,0
Studio Current,,,,Capitol Hill,,Multi-use,,,,,,,,,,,,,,,,,,,1417 10th Ave #C Seattle WA 98122,"(47.6132230, -122.3194120)",2016-09-30T00:00:00,1
Studio Current,,,,Capitol Hill,,Multi-use,,,1910,,1,,,,,N,,N,Y,,,,,,"1100 E Pike St, Seattle WA 98101","(47.6142600, -122.3178560)",,0
Studio East Training for the Performing Arts,(425) 820-1800,www.studio-east.org,,,,Performance,,,,,,,,,,,,,,,,,,,"11730 118th Ave NE, Suite 100 Kirkland WA 98034","(47.7059400, -122.1830290)",,0
"Studio Instrument Rentals, Inc.",,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,"3631 Interlake Ave N Seattle, WA 98103","(47.6515690, -122.3417050)",,0
Studio Litho,,,,,,Studios,,,,,,,,,,,,,,,,,,,348 NW 54th St Seattle WA 98107,"(47.6681370, -122.3627780)",,0
Sub Pop Records,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2013 4th Ave Third Floor Seattle WA 98121,"(47.6132461, -122.3409939)",,0
Sundance Cinemas LLC-Sundance Seattle,(206) 633-0059,www.sundancecinemas.com/seattle_showtimes.html,12500,University District,N,Cinema,2013,R,,2006,5,10,,Y,70,Y,,Y,Y,Y,N,5,,,4500 9th Ave NE Seattle WA 98105,"(47.6617428, -122.3180727)",,0
Sunny Arms Artist Cooperative,,,,,,Studios,,,,,,,,,,,,,,,,,,,707 S. Snoqualmie St Seattle WA 98108,"(47.5616585, -122.3237001)",,0
Sunset Tavern,(206) 784-4880,www.sunsettavern.com,2000,Ballard,N,Music,2000,R,1908,2000,0,0,0,N,0,Y,0,Y,N,Y,N,5,,2020,5433 Ballard Ave NW Seattle WA 98107,"(47.6682756, -122.3860837)",,0
Sunshine from Polynesia,(206) 282-0769,www.sunshinefrompolynesia.com,400,Magnolia,N,Performance,1985,O,1908,1985,0,0,0,N,0,I don't know.,3,I don't know.,N,N,N,5,,,4524 33rd Avenue W Seattle WA 98199,"(47.6620900, -122.3991700)",,0
Superior Audio Service,(206) 369-7588,https://www.facebook.com/SuperiorAudioService,18000,Ballard,N,Music,2008,R,1920,2006,1,0,0,N,0,N,0,N,N,N,N,5,,2017,645 NW 45th St Seattle WA 98107,"(47.6612543, -122.3656412)",,0
SURF Incubator,(206) 777-1177,www.surfincubator.com,22000,Downtown,N,Performance,2014,R,1983,2012,1,1,20,N,0,I don't know.,100,N,Y,N,N,4,,I don't know.,999 3rd Ave Suite 700 Seattle WA 98104,"(47.6050340, -122.3342440)",,0
SURFincubator II,(206) 777-1177,www.surfincubator.com,1800,Downtown,N,Multi-use,1990,R,1980,2007,2,1,150,Y,80,Y,0,N,Y,Y,N,5,,2023,999 3rd Ave Suite700 Seattle WA 98104,"(47.6050340, -122.3342440)",,0
Surya Teja Arts,(425) 442-3286,www.facebook.com/SuryaTejaArts,0,,Y,Performance,2013,Other,1900,2013,0,0,,N,,N,0,N,N,N,,5,,,1201 176 AVE NE Redmond WA 98052,"(47.6312240, -122.1050290)",,0
Swedish Hospital Art Collection,,,,,,Visual,,,,,,,,,,,,,,,,,,,747 Broadway Seattle WA 98122,"(47.6089681, -122.3221023)",,0
Tall's Camera,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,401 NE Northgate Way Seattle WA 98125,"(47.7086000, -122.3247900)",,0
Taproot Theatre,(206) 781-9707,www.taproottheatre.org,22000,Greenwood,Y,Performance,1997,O,1930,1976,3,2,346,N,0,Y,1,Y,,Y,Y,5,,0,204 N 85th St Seattle WA 98103,"(47.6908412, -122.3562513)",,0
Tara Academy of Irish Dance Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,8551 Greenwood Avenue North Suite 4 Seattle WA 98103,"(47.6920890, -122.3557210)",,0
Tasty Gallery,(206) 706-3020,www.shoptastyart.com,1000,Greenwood,N,Visual,2009,R,,2009,0,0,0,Y,1000,,0,Y,N,N,N,3,,It's month to month.,7513 Greenwood Ave N Seattle WA 98103,"(47.6837370, -122.3555197)",,0
Tasveer,(206) 349-4478,www.tasveer.org,,,,Cinema,,,,,,,,,,,,,,,,,,,24746 NE 18th St Sammamish WA 98074,"(47.6255750, -122.0086540)",,0
Teatro ZinZanni,(206) 802-0015,www.zinzanni.com/seattle,28000,Uptown,Y,Performance,2006,R,2006,1998,2,1,285,N,0,Y,0,Y,N,Y,N,4,,2015,222 Mercer St Seattle WA 98109,"(47.6249259, -122.3518443)",2017-03-05T00:00:00,1
Ted Brown Music,(206) 622-0171,www.tedbrownmyusic.com,2000,University District,Government,Music,2012,R,1960,1931,4,0,0,No,,I don't know.,10,Y,Y,N,N,5,,,1006 NE 65th St Seattle WA 98105,"(47.6758260, -122.3170880)",,0
Temple of Cairo,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,507 E Mercer Seattle WA 98102,"(47.6242820, -122.3250520)",,0
The Alice Gallery,(206) 853-9124,www.thealicegallery.com,600,Georgetown,Other,Visual,2015,R,1904,2015,0,0,0,Y,600,I don't know.,0,N,N,N,N,4,,2016-02-01T00:00:00,6007 12th Ave South Seattle WA 98108 ï»¿,"(47.5488850, -122.3175960)",,0
The Art Study,,,,,,Visual,,,,,,,,,,,,,,,,,,,"4630 NE Village Ln, Seattle, WA 98105","(47.6626739, -122.2991137)",,0
The Audio Connection,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,5621A University Way Northeast Seattle WA 98105,"(47.6699750, -122.3130450)",,0
The Ballet Studio,(206) 329-9166,www.theballetstudio.com,1300,University District,N,Studios,1992,R,,,2,0,,N,,N,,N,Y,N,N,3,,,4556 University Way NE Seattle WA 98105,"(47.6628472, -122.3127576)",,0
The Big Picture,(206) 256-0566,www.thebigpicture.net,4400,Belltown,N,Cinema,1998,,1950,1998,1,1,100,N,0,Y,,Y,Y,Y,N,5,,0,2505 1st Ave Seattle WA 98121,"(47.6146778, -122.3492477)",,0
The Pioneer Collective,(206) 310-2863,www.thepioneercollective.com,6000,Pioneer Square,N,Multi-use,2015,R,1908,2014,0,0,,N,0,I don't know.,0,Y,Y,N,N,5,,2021,100 South King Street Suite 100 Seattle WA 98104,"(47.5985720, -122.3337940)",,0
The Black Dog Arts Café/Black Dog Arts Coalition,(425) 831-3647,www.blackdogartscoalition.org,2200,,Y,Visual,2013,R,1940,2013,0,1,50,Y,40,Y,15,Y,N,N,,4,,2016,8062 Railroad Ave. SE Snoqualmie WA 98065,"(47.5281370, -121.8245750)",,0
The Bush School Speaker Series,,,,,,Performance,,,,,,,,,,,,,,,,,,,"3400 East Harrison St Seattle, WA 98112","(47.6228290, -122.2869800)",,0
The Chalet Theatre of Enumclaw,(360) 825-3881,www.chalettheatre.com,10000,,N,Cinema,1977,O,1917,1947,0,1,460,N,,Y,20,Y,Y,Y,,5,,,1721 Wells Street Enumclaw WA 98022,"(47.2047980, -121.9896810)",,0
The Chapel Performance Space at Good Shepherd Center,(206) 547-8127,www.historicseattle.org/projects/gsc.aspxâ€Ž,3600,Wallingford,Y,Music,2007,O,1907,1974,0,1,150,N,0,Y,100,N,Y,N,N,5,,0,4649 Sunnyside Ave N 4th floor Seattle WA 98103,"(47.6640977, -122.3310449)",,0
The Collaboratory,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,5623 Rainier Ave S Seattle WA 98118,"(47.5517070, -122.2779810)",,0
The Color Group,(206) 281-1630,www.thecolorgroup.com,3000,SODO,N,Visual,2010,R,1971,2000,2,0,0,Y,2500,Y,25,Y,Y,Y,N,5,,2020,1741 4th Ave S Suite B Seattle WA 98134,"(47.5868530, -122.3295590)",,0
The Comedy Underground,,,,,,Performance,,,,,,,,,,,,,,,,,,,"109 S. Washington St Seattle, WA 98104","(47.6008900, -122.3338790)",,0
The Comic Stop U District,,,,,,Literary,,,,,,,,,,,,,,,,,,,1307 NE 45th St Seattle WA 98105,"(47.6612700, -122.3140060)",,0
The Control Room,,,,,,Studios,,,,,,,,,,,,,,,,,,,2220 NW Market St Seattle WA 98107,"(47.6690900, -122.3857960)",,0
The Curious Nest,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2916 NE 55th St Seattle WA 98105,"(47.6687770, -122.2953950)",,0
The Dreaming Comics and Games,,,,,,Literary,,,,,,,,,,,,,,,,,,,5226 University Way NE Seattle WA 98105,"(47.6670540, -122.3130510)",,0
The Drum Exchange,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,4501 Interlake Ave N Seattle WA 98103,"(47.6617970, -122.3409960)",,0
The Factory,,,,,,Visual,,,,,,,,,,,,,,,,,,,1216 10th Ave Seattle WA 98122,"(47.6123380, -122.3193680)",,0
The Guitar Store,(206) 397-4438,www.seattleguitarstore.com,4300,Green Lake,N,Service/Supply,2011,R,1950,2011,1,0,,N,,Partial,0,Y,v,N,N,1,,2017,8300 Aurora Ave N. Seattle WA 98103,"(47.6669041, -122.3127673)",,0
The Hardware Store,(206) 463-1800,www.thsrestaurant.com,5000,,N,Multi-use,2005,R,1890,2005,0,0,,Y,400,Y,0,Y,Y,Y,,5,,,17601 Vashon Hwy SW Vashon WA 98070,"(47.4472290, -122.4608690)",,0
The Hillman City Collaboratory,(206) 669-8106,www.hillmancitycollaboratory.org,9000,Hillman City,Y,Visual,2014,R,2014,2013,0,1,120,Y,2000,Y,20,Y,Y,Y,N,4,,2021,5623 Rainier Ave S Seattle WA 98118,"(47.5516910, -122.2780430)",,0
The Hyogo Business and Cultural Center,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,1001 4th Ave Suite 2330 Seattle WA 98154,"(47.6062130, -122.3337940)",,0
The Josephine and Friends of NW 65th (CLOSED),(206) 543-0065,www.josephinebaker-bonaparte.blogspot.com,,Ballard,Y,Multi-use,,R,1932,,0,1,600,N,0,N,0,Y,,N,,2,,,608 NW 65th St Seattle WA 98117,"(47.6762165, -122.3638347)",2015-02-01T00:00:00,1
"The Kirmser Academy of Music and The Music Trader, Inc.",(425) 413-4343,www.musictrader.com,4600,,N,Music,1995,R,1990,1995,1,1,100,N,,Y,6,N,N,N,,5,,,26911 Maple Valley-Black Maple Valley WA 98038,"(47.3599970, -122.0218880)",,0
The Knitting School,(206) 353-1337,www.theknittingschool.com,360,Mt. Baker,N,Arts/Cultural Training or Education,2011,R,1940,2008,1,0,,N,,N,0,N,N,N,N,3,,,1507 30th Ave S Seattle WA 98144,"(47.5891460, -122.2939380)",,0
The Legacy Ltd,(206) 624-6350,www.thelegacyltd.com,1250,Downtown,N,Visual,1982,R,1892,1932,2,0,0,Y,800,Partial,0,Y,N,N,N,3,,2015,1003 1st Ave Seattle WA 98104,"(47.6048267, -122.3367450)",,0
The Lofts at 325,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,325 Westlake Ave N Seattle WA 98109,"(47.6217040, -122.3388600)",,0
The Makery,(206) 954-3497,https://themakeryseattleblog.wordpress.com,500,Seward Park,N,Arts/Cultural Training or Education,2,R,1940,2011,0,,,N,,N,0,N,No,N,N,4,,0,5019 52nd St Seattle WA 98118,"(47.5564610, -122.2685080)",,0
The Market Theater,(206) 587-2414,www.unexpectedproductions.org,4000,Downtown,Y,Performance,1991,R,1890,1983,4,1,220,,,Y,0,Y,Y,Y,Y,5,,2023,1428 Post Alley Seattle WA 98101,"(47.6098589, -122.3417416)",,0
The Movement Lab,(425) 289-6851,www.themovementlab.youcanbook.me,1800,University District,N,Multi-use,2014,R,1940,2011,0,0,,N,,N,2,N,Y,N,N,1,,2016,4336 University Way NE Seattle WA 98105,"(47.7203793, -122.2979988)",,0
The Music Factory,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2832 E Arthur Pl Seattle WA 98112,"(47.6231190, -122.2957520)",,0
The National Archives at Seattle,,,,,,Education,,,,,,,,,,,,,,,,,,,6125 Sand Point Way NE Seattle WA 98115,"(47.6730920, -122.2679600)",,0
The Northwest School,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,1415 Summit Ave Seattle WA 98122,"(47.6133929, -122.3259406)",,0
Vocalist Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,0
The Project Room,(206) 499-9641,www.projectroomseattle.org,750,Capitol Hill,Y,Multi-use,2011,R,1912,2011,0,0,0,N,0,,0,Y,N,Y,N,4,,2015,1315 E Pine St Seattle WA 98122,"(47.6151596, -122.3147172)",,0
The Royal Room,(206) 906-9920,,3000,Columbia City,N,Music,2011,R,1917,2011,3,1,150,N,,Y,0,Y,Yes,Y,N,4,,2019,5000 Rainier Ave S,"(47.5567930, -122.2839270)",,
The Salvation Army,206-783-1225,www.tsaseattletemple.org,19311,Greenwood,Y,Music,1972,O,1972,1865,3,1,280,N,,Y,65,Y,Y,N,N,5,,,9501 Greenwood Ave N Seattle WA 98103,"(47.6982570, -122.3559420)",,0
The Seattle Times,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,1000 Denny Way Seattle WA 98109,"(47.6190530, -122.3363950)",,0
